Grote Weiver,Wormerveer,19-10-25,met Perestrojska en Nas Drovje
Poppodium Bredius,Woerden,04-10-25,met Familievloei
Bibliotheek,Haarlem,20-09-25,Buiten het Boekje
Surfana Festival,Bloemendaal aan Zee,12-09-25,
Haltpop,Koog aan de Zaan,19-07-25,
Slachthuis,Haarlem,27-06-25,met Mark Foggo
Oedipus Craftspace,Amsterdam Noord,08-03-25,
C.,Hoofddorp,14-02-25,met de Bouncers
Grote Weiver,Wormerveer,05-01-25,met the Shakedown 8
Skatecafe,Amsterdam Noord,01-11-24,met Mauskovic Danceband en Kleine Crack
Slachthuis,Haarlem,03-10-24,met the Toasters
C.,Hoofddrop,08-09-24,met de Bouncers
Patronaat,Haarlem,06-09-24,Friday Fight Night (rust zacht Jack)
Oosterpark,Amsterdam,19-07-24,
De Hout Rocks,Alkmaar,16-06-24,
Houtnacht,Haarlem,15-06-24,
Vondelbunker,Amsterdam,08-06-24,met Venus Hill en Asfixia Social
P60,Amstelveen,03-05-24, Popprijs finale (gewonnen)
Slachthuis,Haarlem,27-04-24,Waar een Willem is een weg fest
C.,Hoofddrop,12-04-24,Popprijs
Flintys,Haarlem,05-04-24,met Venus Hill
Slachthuis,Haarlem,01-03-24,met de Bouncers